n_depots,launch_cost,discount_rate,payload_revenue,npv_modular_depot,npv_monolithic,delta_npv,modular_wins
20,500.0,0.07,500.0,3150516948.3108573,3097141563.978789,53375384.33206844,True
20,500.0,0.1,200.0,265453474.54632187,397911882.5765117,-132458408.03018981,False
20,500.0,0.1,300.0,829440293.294103,905077259.3291204,-75636966.03501737,False
20,500.0,0.1,500.0,1957413930.7896652,1919408012.8343382,38005917.955327034,True
20,1000.0,0.05,200.0,195808509.01278436,415089890.1163355,-219281381.10355115,False
20,1000.0,0.05,300.0,1299454129.9842963,1444765786.0778737,-145311656.09357738,False
20,1000.0,0.05,500.0,3506745371.927321,3504117578.0009494,2627793.9263715744,True
20,1000.0,0.07,200.0,-120569835.8248173,80281908.96418184,-200851744.78899914,False
20,1000.0,0.07,300.0,710141932.2103816,844532061.3383563,-134390129.12797463,False
20,1000.0,0.07,500.0,2371565468.280779,2373032366.086705,-1466897.805926323,False
20,1000.0,0.1,200.0,-402797543.7330351,-218506988.35219392,-184290555.38084117,False
20,1000.0,0.1,300.0,161189275.01474607,288658388.4004147,-127469113.38566864,False
20,1000.0,0.1,500.0,1289162912.5103083,1302989141.9056325,-13826229.39532423,False
20,1500.0,0.05,200.0,-683070602.3179222,-407041060.7870347,-276029541.53088754,False
20,1500.0,0.05,300.0,420575018.6535903,622634835.1745034,-202059816.52091312,False
20,1500.0,0.05,500.0,2627866260.596615,2681986627.09758,-54120366.50096512,False
20,1500.0,0.07,200.0,-899521315.8548951,-643827288.9279016,-255694026.9269935,False
20,1500.0,0.07,300.0,-68809547.81969655,120422863.4462729,-189232411.26596946,False
20,1500.0,0.07,500.0,1592613988.250701,1648923168.1946225,-56309179.943921566,False
20,1500.0,0.1,200.0,-1071048562.012392,-834925859.2808993,-236122702.73149276,False
20,1500.0,0.1,300.0,-507061743.2646108,-327760482.5282907,-179301260.73632014,False
20,1500.0,0.1,500.0,620911894.2309515,686570270.9769268,-65658376.745975256,False
20,2000.0,0.05,200.0,-1561949713.6486282,-1229172011.690406,-332777701.95822215,False
20,2000.0,0.05,300.0,-458304092.6771161,-199496115.72886732,-258807976.94824877,False
20,2000.0,0.05,500.0,1748987149.265909,1859855676.1942089,-110868526.9282999,False
20,2000.0,0.07,200.0,-1678472795.884973,-1367936486.8199856,-310536309.0649874,False
